"game_code","period","frame","event","player_id","dplayer_id"
"2016-02-01-ORL-SAS",2,979,"2PM","201988","101112"
"2016-02-01-ORL-SAS",2,1227,"2PX","1626209","2561"
"2016-02-01-ORL-SAS",2,1267,"DRB","201988",NA
"2016-02-01-ORL-SAS",2,1574,"TO","203613",NA
"2016-02-01-ORL-SAS",2,2107,"TO","203506",NA
"2016-02-01-ORL-SAS",2,2432,"FOUL","2561","203506"
"2016-02-01-ORL-SAS",2,2720,"TO","2561","1626209"
"2016-02-01-ORL-SAS",2,3008,"TO","101112",NA
"2016-02-01-ORL-SAS",2,3398,"FOUL","203613","1626209"
"2016-02-01-ORL-SAS",2,3634,"2PX","203613","201160"
"2016-02-01-ORL-SAS",2,3635,"BLK","203613","201160"
"2016-02-01-ORL-SAS",2,3685,"ORB",NA,NA
"2016-02-01-ORL-SAS",2,3880,"2PM","1938","203506"
"2016-02-01-ORL-SAS",2,4253,"TO","1626209",NA
"2016-02-01-ORL-SAS",2,4742,"2PX","201988","203506"
"2016-02-01-ORL-SAS",2,4795,"DRB","101112",NA
"2016-02-01-ORL-SAS",2,5200,"TO","203095",NA
"2016-02-01-ORL-SAS",2,5715,"2PM","1938","101112"
"2016-02-01-ORL-SAS",2,6493,"2PX","203095","201980"
"2016-02-01-ORL-SAS",2,6520,"DRB","201980",NA
"2016-02-01-ORL-SAS",2,6847,"2PM","2561","201160"
"2016-02-01-ORL-SAS",2,7071,"2PX","203901","2561"
"2016-02-01-ORL-SAS",2,7100,"ORB","201160",NA
"2016-02-01-ORL-SAS",2,7114,"2PX","201160","201980"
"2016-02-01-ORL-SAS",2,7132,"DRB","203937",NA
"2016-02-01-ORL-SAS",2,7303,"3PX","201980","203095"
"2016-02-01-ORL-SAS",2,7363,"DRB","101112",NA
"2016-02-01-ORL-SAS",2,7613,"3PM","101112","203937"
"2016-02-01-ORL-SAS",2,8048,"2PX","2561","1626209"
"2016-02-01-ORL-SAS",2,8102,"DRB","203901",NA
"2016-02-01-ORL-SAS",2,8445,"2PM","1626209","2561"
"2016-02-01-ORL-SAS",2,8813,"2PX","2561","201160"
"2016-02-01-ORL-SAS",2,8853,"DRB","101112",NA
"2016-02-01-ORL-SAS",2,9043,"2PX","203901","2561"
"2016-02-01-ORL-SAS",2,9073,"DRB","203937",NA
"2016-02-01-ORL-SAS",2,9325,"TO","203937","203901"
"2016-02-01-ORL-SAS",2,9376,"FOUL","203901","2561"
"2016-02-01-ORL-SAS",2,9702,"2PM","101112","2564"
"2016-02-01-ORL-SAS",2,10188,"TO","2225","1626209"
"2016-02-01-ORL-SAS",2,10428,"3PX","1626209","2561"
"2016-02-01-ORL-SAS",2,10488,"ORB","201160",NA
"2016-02-01-ORL-SAS",2,10514,"FOUL","201160","203613"
"2016-02-01-ORL-SAS",2,10741,"3PX","101112","2564"
"2016-02-01-ORL-SAS",2,10742,NA,"1626209",NA
"2016-02-01-ORL-SAS",2,10844,"TO","2561",NA
"2016-02-01-ORL-SAS",2,10974,"2PM","1626209","201980"
"2016-02-01-ORL-SAS",2,11465,"2PX","201980","203095"
"2016-02-01-ORL-SAS",2,11466,"BLK","201980","203095"
"2016-02-01-ORL-SAS",2,11497,"DRB","101112",NA
"2016-02-01-ORL-SAS",2,11762,"FOUL","203901","201980"
"2016-02-01-ORL-SAS",2,12132,"2PX","201160","202695"
"2016-02-01-ORL-SAS",2,12168,"DRB","2446",NA
"2016-02-01-ORL-SAS",2,12770,"3PX","203492","203095"
"2016-02-01-ORL-SAS",2,12840,"DRB","101112",NA
"2016-02-01-ORL-SAS",2,13007,"2PM","203901","2225"
"2016-02-01-ORL-SAS",2,13017,"FOUL","203901","2225"
"2016-02-01-ORL-SAS",2,13444,"SF","2225","201160"
"2016-02-01-ORL-SAS",2,13457,"FOUL","2225","203901"
"2016-02-01-ORL-SAS",2,14029,"3PX","101112","202695"
"2016-02-01-ORL-SAS",2,14112,"DRB","2225",NA
"2016-02-01-ORL-SAS",2,14201,"2PM","202695","203095"
"2016-02-01-ORL-SAS",2,14705,"2PX","201160","2446"
"2016-02-01-ORL-SAS",2,14758,"DRB","202695",NA
"2016-02-01-ORL-SAS",2,14915,"2PM","200746","201160"
"2016-02-01-ORL-SAS",2,15561,"2PM","202696","200746"
"2016-02-01-ORL-SAS",2,16031,"3PX","202695","1626209"
"2016-02-01-ORL-SAS",2,16087,"DRB","202696",NA
"2016-02-01-ORL-SAS",2,16326,"3PX","203095","1938"
"2016-02-01-ORL-SAS",2,16376,"DRB","2446",NA
"2016-02-01-ORL-SAS",2,16534,"3PX","1938","203095"
"2016-02-01-ORL-SAS",2,16604,"DRB","203901",NA
"2016-02-01-ORL-SAS",2,16735,"2PM","203901","2225"
"2016-02-01-ORL-SAS",2,17403,"TO","2225","202696"
"2016-02-01-ORL-SAS",2,17805,"2PM","202696","200746"
"2016-02-01-ORL-SAS",2,18185,"2PM","2225","1626209"
"2016-02-01-ORL-SAS",2,18638,"2PM","203932","2446"
"2016-02-01-ORL-SAS",2,18985,"2PM","1938","202696"
"2016-02-01-ORL-SAS",2,19340,"2PX","203901","2225"
"2016-02-01-ORL-SAS",2,19341,"BLK","203901","2225"
"2016-02-01-ORL-SAS",2,19369,"ORB","202696",NA
"2016-02-01-ORL-SAS",2,19547,"2PX","203932","202695"
"2016-02-01-ORL-SAS",2,19566,"ORB","203932",NA
"2016-02-01-ORL-SAS",2,19579,"2PX","203932","202695"
"2016-02-01-ORL-SAS",2,19620,"ORB","203901",NA
"2016-02-01-ORL-SAS",2,19655,"2PX","203901","202695"
"2016-02-01-ORL-SAS",2,19656,"BLK","203901","202695"
"2016-02-01-ORL-SAS",2,19690,"ORB","203901",NA
"2016-02-01-ORL-SAS",2,19781,"3PX","1626209","2225"
"2016-02-01-ORL-SAS",2,19841,"DRB","202695",NA
"2016-02-01-ORL-SAS",2,20224,"3PX","202695","203901"
"2016-02-01-ORL-SAS",2,20281,"DRB","203932",NA
"2016-02-01-ORL-SAS",2,20659,"2PX","202696","200746"
"2016-02-01-ORL-SAS",2,20663,"ORB",NA,NA
"2016-02-01-ORL-SAS",3,0,"SPD",NA,NA
"2016-02-01-ORL-SAS",3,667,"2PX","203506","200746"
"2016-02-01-ORL-SAS",3,722,"DRB","2225",NA
"2016-02-01-ORL-SAS",3,1108,"3PX","202695","202699"
"2016-02-01-ORL-SAS",3,1161,"DRB","202696",NA
"2016-02-01-ORL-SAS",3,1368,"SF","202696","202695"
"2016-02-01-ORL-SAS",3,1385,"FOUL","202696","202695"
"2016-02-01-ORL-SAS",3,1923,"TO","201980","203506"
"2016-02-01-ORL-SAS",3,2017,"2PM","203506","200746"
"2016-02-01-ORL-SAS",3,2441,"TO","201980","203506"
"2016-02-01-ORL-SAS",3,2543,"SF","203506","201980"
"2016-02-01-ORL-SAS",3,2562,"FOUL","203506","201980"
"2016-02-01-ORL-SAS",3,3075,"2PM","200746","202696"
"2016-02-01-ORL-SAS",3,3483,"2PM","202696","200746"
"2016-02-01-ORL-SAS",3,4050,"2PX","203613","202696"
"2016-02-01-ORL-SAS",3,4074,"DRB","203506",NA
"2016-02-01-ORL-SAS",3,4268,"2PM","203932","2564"
"2016-02-01-ORL-SAS",3,4787,"FOUL","202695","202699"
"2016-02-01-ORL-SAS",3,5179,"SF","200746","202696"
"2016-02-01-ORL-SAS",3,5180,"FOUL","200746","202696"
"2016-02-01-ORL-SAS",3,5832,"2PM","203506","1938"
"2016-02-01-ORL-SAS",3,6150,"3PM","1938","203506"
"2016-02-01-ORL-SAS",3,6722,"2PM","203901","202695"
"2016-02-01-ORL-SAS",3,7146,"2PM","202695","202696"
"2016-02-01-ORL-SAS",3,7493,"TO","203506","1938"
